id,nm,lat,lon,countryCode
686487,Alexeni,44.683331,26.700001,ro
3996626,Maravatio,19.9,-100.449997,mx
145964,Yeri,35.099998,33.416672,cy
679456,Deta,45.388889,21.224439999999998,ro
3038426,Aime,45.555592,6.6504199999999996,fr
2403407,Tintafor,8.626669999999999,-13.215,sl
6952201,East Melbourne,-37.816669,144.9879,au
2711537,Goeteborg,57.707161,11.96679,se
4547675,Pawhuska,36.667839,-96.337227,us
3901504,Villa Yapacani,-17.4,-63.833328,bo
2639928,Prescot,53.42948199999999,-2.8003099999999996,gb
2352778,Abuja,9.05735,7.48976,ng
917011,Gwembe,-16.497549,27.606911,zm
3174609,Lonate Ceppino,45.704769,8.878739999999999,it
2647101,Henley on Thames,51.533328999999995,-0.9,gb
2933922,Ebersdorf,50.333328,11.15,de
457065,Ogre,56.8162,24.61401,lv
1727999,Baliton,5.743609999999999,125.23638899999999,ph
1853066,Sakurai,34.5,135.850006,jp
579327,Bammatyurt,43.343151,46.608528,ru
3171919,Orotelli,40.305859000000005,9.11293,it
6324376,Pinar de Chamartin,40.479031,-3.66836,es
2790515,Musson,49.556808000000004,5.69952,be
3452216,Prudentopolis,-25.213060000000002,-50.977779,br
474370,Verkhoshizhemye,58.010971,49.103840000000005,ru
3387620,Simplicio Mendes,-7.85389,-41.910278000000005,br
1166720,Rustam jo Goth,27.968969,68.80481,pk
3171152,Peschiera del Garda,45.437778,10.68908,it
3053836,Dabas,47.18594,19.310909,hu
3522251,Oxkutzcab,20.299999,-89.41667199999999,mx
81604,Suluq,31.66818,20.25205,ly
1717916,Catayuan,18.16358,121.652748,ph
3988258,Sahuayo de Morelos,20.066669,-102.716667,mx
3023697,Cordemais,47.291069,-1.8786900000000002,fr
5415502,Burlington,39.30611,-102.269363,us
886990,Marondera,-18.185270000000003,31.551928999999998,zw
3650186,Vinces,-1.55,-79.73333000000001,ec
1278808,Amet,25.299999,73.933327,in
3936963,Langui,-14.431939999999999,-71.273064,pe
2249901,Khombole,14.766670000000001,-16.700001,sn
3041732,Mariehamn,60.09726,19.934811,ax
3013206,Holtzheim,48.558201000000004,7.64434,fr
760825,Raczki,53.987492,22.78487,pl
3122695,Fabero,42.768028,-6.626510000000001,es
1857046,Mino,34.826908,135.470566,jp
4871875,Postville,43.084702,-91.56819899999999,us
3526953,Huejotzingo,19.15,-98.400002,mx
2991792,Morigny-Champigny,48.44685,2.18352,fr
1682428,Tibagon,7.2327,125.862801,ph
550512,Kharovsk,59.964249,40.191212,ru
457860,Livani,56.35430899999999,26.175791,lv
1716294,Dadus,7.0575,124.321671,ph
2794445,Kinrooi,51.145432,5.74207,be
4906802,Preston Heights,41.491699,-88.08171800000001,us
2823497,Tennenbronn,48.190411,8.35176,de
