city,id,countryCD,date,lon,lat,temp,maxTemp,humidity %,clouds,windSpeed_MPH
Alexeni,665010,RO,2018-04-03 23:17:28,23.25,45.14,31.77,31.77,83.0,0.0,2.7961750000000003
Maravatio,3996626,MX,2018-04-03 21:42:00,-100.44,19.89,80.6,80.6,30.0,75.0,25.523485400000002
Yeri,1925936,KR,2018-04-03 22:00:00,128.55,35.42,55.4,55.4,87.0,20.0,2.5053728000000004
Deta,679456,RO,2018-04-03 23:00:00,21.22,45.39,42.57,48.2,57.0,0.0,25.523485400000002
Aime,3038426,FR,2018-04-03 23:00:00,6.65,45.56,47.3,48.2,66.0,0.0,7.5161184
Tintafor,2403407,SL,2018-04-03 23:17:30,-13.21,8.63,79.2,79.2,99.0,0.0,19.0587288
East Melbourne,6952201,AU,2018-04-03 23:00:00,144.99,-37.81,61.43,62.6,77.0,90.0,18.007367000000002
Goeteborg,2711537,SE,2018-04-03 22:50:00,11.97,57.71,24.8,24.8,68.0,0.0,4.809421
Pawhuska,4547675,US,2018-04-03 22:53:00,-96.34,36.67,47.08,50.0,81.0,90.0,23.0181126
Villa Yapacani,3901504,BO,2018-04-03 23:17:40,-63.83,-17.4,75.51,75.51,72.0,48.0,13.309793
Prescot,2639928,GB,2018-04-03 22:50:00,-2.8,53.43,48.2,48.2,87.0,40.0,20.512739800000002
Abuja,2352778,NG,2018-04-03 23:17:32,7.49,9.06,79.61,79.61,73.0,20.0,22.816788
Gwembe,917011,ZM,2018-04-03 23:17:32,27.61,-16.5,62.78,62.78,97.0,0.0,5.5476112
Lonate Ceppino,3174609,IT,2018-04-03 22:50:00,8.87,45.7,51.1,53.6,81.0,40.0,5.010745600000001
Henley on Thames,2647101,GB,2018-04-03 22:50:00,-0.9,51.53,49.78,51.8,93.0,80.0,25.523485400000002
Ebersdorf,2766429,AT,2018-04-03 23:17:33,15.55,48.16,34.34,34.34,72.0,24.0,4.809421
